status,benchmark,model,data,split,sub_dataset,num_shots,tau,gamma,auc_pct,accuracy_pct,tpr1_fpr_pct,tpr5_fpr_pct,tpr10_fpr_pct,result_name,output_dir,roc_path,log_file
ok,mimir,pythia-160m,iamgroot42/mimir,ngram_7_0.2,arxiv,10,0.03,0,68.0,64.4,10.4,19.2,26.7,wpmia_mimir_ngram_7_0.2_pythia-160m_arxiv_10_tau_0p03_gamma_0,simmia_out/mimir/ngram_7_0.2/pythia-160m/arxiv/10,simmia_out/mimir/ngram_7_0.2/pythia-160m/arxiv/10/wpmia_mimir_ngram_7_0.2_pythia-160m_arxiv_10_tau_0p03_gamma_0_roc_tpr_at_5_fpr.png,logs/wpmia/20260524_082806_mimir_wpmia/mimir_ngram_7_0.2_pythia-160m_arxiv_10_tau_0p03_gamma_0.log
ok,mimir,pythia-160m,iamgroot42/mimir,ngram_7_0.2,arxiv,10,0.03,0.25,69.2,65.1,11.6,21.0,27.8,wpmia_mimir_ngram_7_0.2_pythia-160m_arxiv_10_tau_0p03_gamma_0p25,simmia_out/mimir/ngram_7_0.2/pythia-160m/arxiv/10,simmia_out/mimir/ngram_7_0.2/pythia-160m/arxiv/10/wpmia_mimir_ngram_7_0.2_pythia-160m_arxiv_10_tau_0p03_gamma_0p25_roc_tpr_at_5_fpr.png,logs/wpmia/20260524_082806_mimir_wpmia/mimir_ngram_7_0.2_pythia-160m_arxiv_10_tau_0p03_gamma_0p25.log
ok,mimir,pythia-160m,iamgroot42/mimir,ngram_7_0.2,arxiv,10,0.03,0.5,70.6,67.2,12.2,23.9,31.8,wpmia_mimir_ngram_7_0.2_pythia-160m_arxiv_10_tau_0p03_gamma_0p5,simmia_out/mimir/ngram_7_0.2/pythia-160m/arxiv/10,simmia_out/mimir/ngram_7_0.2/pythia-160m/arxiv/10/wpmia_mimir_ngram_7_0.2_pythia-160m_arxiv_10_tau_0p03_gamma_0p5_roc_tpr_at_5_fpr.png,logs/wpmia/20260524_082806_mimir_wpmia/mimir_ngram_7_0.2_pythia-160m_arxiv_10_tau_0p03_gamma_0p5.log
ok,mimir,pythia-160m,iamgroot42/mimir,ngram_7_0.2,arxiv,10,0.03,0.75,71.2,67.3,11.8,25.5,32.9,wpmia_mimir_ngram_7_0.2_pythia-160m_arxiv_10_tau_0p03_gamma_0p75,simmia_out/mimir/ngram_7_0.2/pythia-160m/arxiv/10,simmia_out/mimir/ngram_7_0.2/pythia-160m/arxiv/10/wpmia_mimir_ngram_7_0.2_pythia-160m_arxiv_10_tau_0p03_gamma_0p75_roc_tpr_at_5_fpr.png,logs/wpmia/20260524_082806_mimir_wpmia/mimir_ngram_7_0.2_pythia-160m_arxiv_10_tau_0p03_gamma_0p75.log
ok,mimir,pythia-160m,iamgroot42/mimir,ngram_7_0.2,arxiv,10,0.03,1.0,67.8,63.3,5.3,20.2,34.3,wpmia_mimir_ngram_7_0.2_pythia-160m_arxiv_10_tau_0p03_gamma_1p0,simmia_out/mimir/ngram_7_0.2/pythia-160m/arxiv/10,simmia_out/mimir/ngram_7_0.2/pythia-160m/arxiv/10/wpmia_mimir_ngram_7_0.2_pythia-160m_arxiv_10_tau_0p03_gamma_1p0_roc_tpr_at_5_fpr.png,logs/wpmia/20260524_082806_mimir_wpmia/mimir_ngram_7_0.2_pythia-160m_arxiv_10_tau_0p03_gamma_1p0.log
ok,mimir,pythia-160m,iamgroot42/mimir,ngram_7_0.2,arxiv,10,0.05,0,68.0,64.4,9.0,18.2,26.9,wpmia_mimir_ngram_7_0.2_pythia-160m_arxiv_10_tau_0p05_gamma_0,simmia_out/mimir/ngram_7_0.2/pythia-160m/arxiv/10,simmia_out/mimir/ngram_7_0.2/pythia-160m/arxiv/10/wpmia_mimir_ngram_7_0.2_pythia-160m_arxiv_10_tau_0p05_gamma_0_roc_tpr_at_5_fpr.png,logs/wpmia/20260524_082806_mimir_wpmia/mimir_ngram_7_0.2_pythia-160m_arxiv_10_tau_0p05_gamma_0.log
ok,mimir,pythia-160m,iamgroot42/mimir,ngram_7_0.2,arxiv,10,0.05,0.25,69.2,65.7,10.2,22.0,28.4,wpmia_mimir_ngram_7_0.2_pythia-160m_arxiv_10_tau_0p05_gamma_0p25,simmia_out/mimir/ngram_7_0.2/pythia-160m/arxiv/10,simmia_out/mimir/ngram_7_0.2/pythia-160m/arxiv/10/wpmia_mimir_ngram_7_0.2_pythia-160m_arxiv_10_tau_0p05_gamma_0p25_roc_tpr_at_5_fpr.png,logs/wpmia/20260524_082806_mimir_wpmia/mimir_ngram_7_0.2_pythia-160m_arxiv_10_tau_0p05_gamma_0p25.log
ok,mimir,pythia-160m,iamgroot42/mimir,ngram_7_0.2,arxiv,10,0.05,0.5,70.8,67.1,10.0,23.1,32.4,wpmia_mimir_ngram_7_0.2_pythia-160m_arxiv_10_tau_0p05_gamma_0p5,simmia_out/mimir/ngram_7_0.2/pythia-160m/arxiv/10,simmia_out/mimir/ngram_7_0.2/pythia-160m/arxiv/10/wpmia_mimir_ngram_7_0.2_pythia-160m_arxiv_10_tau_0p05_gamma_0p5_roc_tpr_at_5_fpr.png,logs/wpmia/20260524_082806_mimir_wpmia/mimir_ngram_7_0.2_pythia-160m_arxiv_10_tau_0p05_gamma_0p5.log
ok,mimir,pythia-160m,iamgroot42/mimir,ngram_7_0.2,arxiv,10,0.05,0.75,71.6,67.1,11.6,24.3,32.7,wpmia_mimir_ngram_7_0.2_pythia-160m_arxiv_10_tau_0p05_gamma_0p75,simmia_out/mimir/ngram_7_0.2/pythia-160m/arxiv/10,simmia_out/mimir/ngram_7_0.2/pythia-160m/arxiv/10/wpmia_mimir_ngram_7_0.2_pythia-160m_arxiv_10_tau_0p05_gamma_0p75_roc_tpr_at_5_fpr.png,logs/wpmia/20260524_082806_mimir_wpmia/mimir_ngram_7_0.2_pythia-160m_arxiv_10_tau_0p05_gamma_0p75.log
ok,mimir,pythia-160m,iamgroot42/mimir,ngram_7_0.2,arxiv,10,0.05,1.0,68.6,64.6,7.6,19.6,34.3,wpmia_mimir_ngram_7_0.2_pythia-160m_arxiv_10_tau_0p05_gamma_1p0,simmia_out/mimir/ngram_7_0.2/pythia-160m/arxiv/10,simmia_out/mimir/ngram_7_0.2/pythia-160m/arxiv/10/wpmia_mimir_ngram_7_0.2_pythia-160m_arxiv_10_tau_0p05_gamma_1p0_roc_tpr_at_5_fpr.png,logs/wpmia/20260524_082806_mimir_wpmia/mimir_ngram_7_0.2_pythia-160m_arxiv_10_tau_0p05_gamma_1p0.log
