status,benchmark,model,data,split,sub_dataset,num_shots,tau,gamma,auc_pct,accuracy_pct,tpr1_fpr_pct,tpr5_fpr_pct,tpr10_fpr_pct,result_name,output_dir,roc_path,log_file
ok,wikimia25,claude-haiku-4-5-20251001,SimMIA/WikiMIA-25,,paper_subset,7,0.03,0,60.8,62.4,0.0,13.3,32.7,wpmia_wikimia25_claude-haiku-4-5-20251001_paper_subset_7_tau_0p03_gamma_0,simmia_out/WikiMIA-25/paper_subset/claude-haiku-4-5-20251001/7,simmia_out/WikiMIA-25/paper_subset/claude-haiku-4-5-20251001/7/wpmia_wikimia25_claude-haiku-4-5-20251001_paper_subset_7_tau_0p03_gamma_0_roc_tpr_at_5_fpr.png,logs/wpmia/20260526_021926_wikimia25_haiku_wpmia/wikimia25_claude-haiku-4-5-20251001_paper_subset_7_tau_0p03_gamma_0.log
ok,wikimia25,claude-haiku-4-5-20251001,SimMIA/WikiMIA-25,,paper_subset,7,0.03,0.25,61.8,63.3,0.0,15.9,36.3,wpmia_wikimia25_claude-haiku-4-5-20251001_paper_subset_7_tau_0p03_gamma_0p25,simmia_out/WikiMIA-25/paper_subset/claude-haiku-4-5-20251001/7,simmia_out/WikiMIA-25/paper_subset/claude-haiku-4-5-20251001/7/wpmia_wikimia25_claude-haiku-4-5-20251001_paper_subset_7_tau_0p03_gamma_0p25_roc_tpr_at_5_fpr.png,logs/wpmia/20260526_021926_wikimia25_haiku_wpmia/wikimia25_claude-haiku-4-5-20251001_paper_subset_7_tau_0p03_gamma_0p25.log
ok,wikimia25,claude-haiku-4-5-20251001,SimMIA/WikiMIA-25,,paper_subset,7,0.03,0.5,63.4,62.4,1.8,26.5,33.6,wpmia_wikimia25_claude-haiku-4-5-20251001_paper_subset_7_tau_0p03_gamma_0p5,simmia_out/WikiMIA-25/paper_subset/claude-haiku-4-5-20251001/7,simmia_out/WikiMIA-25/paper_subset/claude-haiku-4-5-20251001/7/wpmia_wikimia25_claude-haiku-4-5-20251001_paper_subset_7_tau_0p03_gamma_0p5_roc_tpr_at_5_fpr.png,logs/wpmia/20260526_021926_wikimia25_haiku_wpmia/wikimia25_claude-haiku-4-5-20251001_paper_subset_7_tau_0p03_gamma_0p5.log
ok,wikimia25,claude-haiku-4-5-20251001,SimMIA/WikiMIA-25,,paper_subset,7,0.03,0.75,65.8,62.4,12.4,21.2,31.9,wpmia_wikimia25_claude-haiku-4-5-20251001_paper_subset_7_tau_0p03_gamma_0p75,simmia_out/WikiMIA-25/paper_subset/claude-haiku-4-5-20251001/7,simmia_out/WikiMIA-25/paper_subset/claude-haiku-4-5-20251001/7/wpmia_wikimia25_claude-haiku-4-5-20251001_paper_subset_7_tau_0p03_gamma_0p75_roc_tpr_at_5_fpr.png,logs/wpmia/20260526_021926_wikimia25_haiku_wpmia/wikimia25_claude-haiku-4-5-20251001_paper_subset_7_tau_0p03_gamma_0p75.log
ok,wikimia25,claude-haiku-4-5-20251001,SimMIA/WikiMIA-25,,paper_subset,7,0.03,1.0,64.6,61.9,7.1,22.1,31.9,wpmia_wikimia25_claude-haiku-4-5-20251001_paper_subset_7_tau_0p03_gamma_1p0,simmia_out/WikiMIA-25/paper_subset/claude-haiku-4-5-20251001/7,simmia_out/WikiMIA-25/paper_subset/claude-haiku-4-5-20251001/7/wpmia_wikimia25_claude-haiku-4-5-20251001_paper_subset_7_tau_0p03_gamma_1p0_roc_tpr_at_5_fpr.png,logs/wpmia/20260526_021926_wikimia25_haiku_wpmia/wikimia25_claude-haiku-4-5-20251001_paper_subset_7_tau_0p03_gamma_1p0.log
ok,wikimia25,claude-haiku-4-5-20251001,SimMIA/WikiMIA-25,,paper_subset,7,0.05,0,59.5,60.2,0.0,15.0,24.8,wpmia_wikimia25_claude-haiku-4-5-20251001_paper_subset_7_tau_0p05_gamma_0,simmia_out/WikiMIA-25/paper_subset/claude-haiku-4-5-20251001/7,simmia_out/WikiMIA-25/paper_subset/claude-haiku-4-5-20251001/7/wpmia_wikimia25_claude-haiku-4-5-20251001_paper_subset_7_tau_0p05_gamma_0_roc_tpr_at_5_fpr.png,logs/wpmia/20260526_021926_wikimia25_haiku_wpmia/wikimia25_claude-haiku-4-5-20251001_paper_subset_7_tau_0p05_gamma_0.log
ok,wikimia25,claude-haiku-4-5-20251001,SimMIA/WikiMIA-25,,paper_subset,7,0.05,0.25,60.7,61.9,0.9,21.2,29.2,wpmia_wikimia25_claude-haiku-4-5-20251001_paper_subset_7_tau_0p05_gamma_0p25,simmia_out/WikiMIA-25/paper_subset/claude-haiku-4-5-20251001/7,simmia_out/WikiMIA-25/paper_subset/claude-haiku-4-5-20251001/7/wpmia_wikimia25_claude-haiku-4-5-20251001_paper_subset_7_tau_0p05_gamma_0p25_roc_tpr_at_5_fpr.png,logs/wpmia/20260526_021926_wikimia25_haiku_wpmia/wikimia25_claude-haiku-4-5-20251001_paper_subset_7_tau_0p05_gamma_0p25.log
ok,wikimia25,claude-haiku-4-5-20251001,SimMIA/WikiMIA-25,,paper_subset,7,0.05,0.5,62.1,61.5,1.8,17.7,29.2,wpmia_wikimia25_claude-haiku-4-5-20251001_paper_subset_7_tau_0p05_gamma_0p5,simmia_out/WikiMIA-25/paper_subset/claude-haiku-4-5-20251001/7,simmia_out/WikiMIA-25/paper_subset/claude-haiku-4-5-20251001/7/wpmia_wikimia25_claude-haiku-4-5-20251001_paper_subset_7_tau_0p05_gamma_0p5_roc_tpr_at_5_fpr.png,logs/wpmia/20260526_021926_wikimia25_haiku_wpmia/wikimia25_claude-haiku-4-5-20251001_paper_subset_7_tau_0p05_gamma_0p5.log
ok,wikimia25,claude-haiku-4-5-20251001,SimMIA/WikiMIA-25,,paper_subset,7,0.05,0.75,63.1,60.6,11.5,17.7,23.9,wpmia_wikimia25_claude-haiku-4-5-20251001_paper_subset_7_tau_0p05_gamma_0p75,simmia_out/WikiMIA-25/paper_subset/claude-haiku-4-5-20251001/7,simmia_out/WikiMIA-25/paper_subset/claude-haiku-4-5-20251001/7/wpmia_wikimia25_claude-haiku-4-5-20251001_paper_subset_7_tau_0p05_gamma_0p75_roc_tpr_at_5_fpr.png,logs/wpmia/20260526_021926_wikimia25_haiku_wpmia/wikimia25_claude-haiku-4-5-20251001_paper_subset_7_tau_0p05_gamma_0p75.log
ok,wikimia25,claude-haiku-4-5-20251001,SimMIA/WikiMIA-25,,paper_subset,7,0.05,1.0,59.4,59.3,7.1,15.0,26.5,wpmia_wikimia25_claude-haiku-4-5-20251001_paper_subset_7_tau_0p05_gamma_1p0,simmia_out/WikiMIA-25/paper_subset/claude-haiku-4-5-20251001/7,simmia_out/WikiMIA-25/paper_subset/claude-haiku-4-5-20251001/7/wpmia_wikimia25_claude-haiku-4-5-20251001_paper_subset_7_tau_0p05_gamma_1p0_roc_tpr_at_5_fpr.png,logs/wpmia/20260526_021926_wikimia25_haiku_wpmia/wikimia25_claude-haiku-4-5-20251001_paper_subset_7_tau_0p05_gamma_1p0.log
