status,benchmark,model,data,split,sub_dataset,num_shots,tau,gamma,auc_pct,accuracy_pct,tpr1_fpr_pct,tpr5_fpr_pct,tpr10_fpr_pct,result_name,output_dir,roc_path,log_file
ok,wikimia25,pythia-6.9b,SimMIA/WikiMIA-25,,paper_subset,7,0.03,0,81.9,75.2,33.6,39.8,52.2,wpmia_wikimia25_pythia-6.9b_paper_subset_7_tau_0p03_gamma_0,simmia_out/WikiMIA-25/paper_subset/pythia-6.9b/7,simmia_out/WikiMIA-25/paper_subset/pythia-6.9b/7/wpmia_wikimia25_pythia-6.9b_paper_subset_7_tau_0p03_gamma_0_roc_tpr_at_5_fpr.png,logs/wpmia/20260524_082644_wikimia25_wpmia/wikimia25_pythia-6.9b_paper_subset_7_tau_0p03_gamma_0.log
ok,wikimia25,pythia-6.9b,SimMIA/WikiMIA-25,,paper_subset,7,0.03,0.25,84.9,77.9,36.3,46.0,64.6,wpmia_wikimia25_pythia-6.9b_paper_subset_7_tau_0p03_gamma_0p25,simmia_out/WikiMIA-25/paper_subset/pythia-6.9b/7,simmia_out/WikiMIA-25/paper_subset/pythia-6.9b/7/wpmia_wikimia25_pythia-6.9b_paper_subset_7_tau_0p03_gamma_0p25_roc_tpr_at_5_fpr.png,logs/wpmia/20260524_082644_wikimia25_wpmia/wikimia25_pythia-6.9b_paper_subset_7_tau_0p03_gamma_0p25.log
ok,wikimia25,pythia-6.9b,SimMIA/WikiMIA-25,,paper_subset,7,0.03,0.5,86.3,81.9,33.6,62.8,73.5,wpmia_wikimia25_pythia-6.9b_paper_subset_7_tau_0p03_gamma_0p5,simmia_out/WikiMIA-25/paper_subset/pythia-6.9b/7,simmia_out/WikiMIA-25/paper_subset/pythia-6.9b/7/wpmia_wikimia25_pythia-6.9b_paper_subset_7_tau_0p03_gamma_0p5_roc_tpr_at_5_fpr.png,logs/wpmia/20260524_082644_wikimia25_wpmia/wikimia25_pythia-6.9b_paper_subset_7_tau_0p03_gamma_0p5.log
ok,wikimia25,pythia-6.9b,SimMIA/WikiMIA-25,,paper_subset,7,0.03,0.75,86.3,82.3,31.9,49.6,72.6,wpmia_wikimia25_pythia-6.9b_paper_subset_7_tau_0p03_gamma_0p75,simmia_out/WikiMIA-25/paper_subset/pythia-6.9b/7,simmia_out/WikiMIA-25/paper_subset/pythia-6.9b/7/wpmia_wikimia25_pythia-6.9b_paper_subset_7_tau_0p03_gamma_0p75_roc_tpr_at_5_fpr.png,logs/wpmia/20260524_082644_wikimia25_wpmia/wikimia25_pythia-6.9b_paper_subset_7_tau_0p03_gamma_0p75.log
ok,wikimia25,pythia-6.9b,SimMIA/WikiMIA-25,,paper_subset,7,0.03,1.0,85.2,80.5,35.4,53.1,66.4,wpmia_wikimia25_pythia-6.9b_paper_subset_7_tau_0p03_gamma_1p0,simmia_out/WikiMIA-25/paper_subset/pythia-6.9b/7,simmia_out/WikiMIA-25/paper_subset/pythia-6.9b/7/wpmia_wikimia25_pythia-6.9b_paper_subset_7_tau_0p03_gamma_1p0_roc_tpr_at_5_fpr.png,logs/wpmia/20260524_082644_wikimia25_wpmia/wikimia25_pythia-6.9b_paper_subset_7_tau_0p03_gamma_1p0.log
ok,wikimia25,pythia-6.9b,SimMIA/WikiMIA-25,,paper_subset,7,0.05,0,84.3,77.4,33.6,40.7,57.5,wpmia_wikimia25_pythia-6.9b_paper_subset_7_tau_0p05_gamma_0,simmia_out/WikiMIA-25/paper_subset/pythia-6.9b/7,simmia_out/WikiMIA-25/paper_subset/pythia-6.9b/7/wpmia_wikimia25_pythia-6.9b_paper_subset_7_tau_0p05_gamma_0_roc_tpr_at_5_fpr.png,logs/wpmia/20260524_082644_wikimia25_wpmia/wikimia25_pythia-6.9b_paper_subset_7_tau_0p05_gamma_0.log
ok,wikimia25,pythia-6.9b,SimMIA/WikiMIA-25,,paper_subset,7,0.05,0.25,87.2,81.0,38.9,58.4,70.8,wpmia_wikimia25_pythia-6.9b_paper_subset_7_tau_0p05_gamma_0p25,simmia_out/WikiMIA-25/paper_subset/pythia-6.9b/7,simmia_out/WikiMIA-25/paper_subset/pythia-6.9b/7/wpmia_wikimia25_pythia-6.9b_paper_subset_7_tau_0p05_gamma_0p25_roc_tpr_at_5_fpr.png,logs/wpmia/20260524_082644_wikimia25_wpmia/wikimia25_pythia-6.9b_paper_subset_7_tau_0p05_gamma_0p25.log
ok,wikimia25,pythia-6.9b,SimMIA/WikiMIA-25,,paper_subset,7,0.05,0.5,88.0,82.7,34.5,62.8,74.3,wpmia_wikimia25_pythia-6.9b_paper_subset_7_tau_0p05_gamma_0p5,simmia_out/WikiMIA-25/paper_subset/pythia-6.9b/7,simmia_out/WikiMIA-25/paper_subset/pythia-6.9b/7/wpmia_wikimia25_pythia-6.9b_paper_subset_7_tau_0p05_gamma_0p5_roc_tpr_at_5_fpr.png,logs/wpmia/20260524_082644_wikimia25_wpmia/wikimia25_pythia-6.9b_paper_subset_7_tau_0p05_gamma_0p5.log
ok,wikimia25,pythia-6.9b,SimMIA/WikiMIA-25,,paper_subset,7,0.05,0.75,87.5,82.7,32.7,59.3,71.7,wpmia_wikimia25_pythia-6.9b_paper_subset_7_tau_0p05_gamma_0p75,simmia_out/WikiMIA-25/paper_subset/pythia-6.9b/7,simmia_out/WikiMIA-25/paper_subset/pythia-6.9b/7/wpmia_wikimia25_pythia-6.9b_paper_subset_7_tau_0p05_gamma_0p75_roc_tpr_at_5_fpr.png,logs/wpmia/20260524_082644_wikimia25_wpmia/wikimia25_pythia-6.9b_paper_subset_7_tau_0p05_gamma_0p75.log
ok,wikimia25,pythia-6.9b,SimMIA/WikiMIA-25,,paper_subset,7,0.05,1.0,85.8,79.6,35.4,58.4,69.0,wpmia_wikimia25_pythia-6.9b_paper_subset_7_tau_0p05_gamma_1p0,simmia_out/WikiMIA-25/paper_subset/pythia-6.9b/7,simmia_out/WikiMIA-25/paper_subset/pythia-6.9b/7/wpmia_wikimia25_pythia-6.9b_paper_subset_7_tau_0p05_gamma_1p0_roc_tpr_at_5_fpr.png,logs/wpmia/20260524_082644_wikimia25_wpmia/wikimia25_pythia-6.9b_paper_subset_7_tau_0p05_gamma_1p0.log
