status,model,data,sub_dataset,length,tau,gamma,num_shots,auc_pct,accuracy_pct,tpr1_fpr_pct,tpr5_fpr_pct,tpr10_fpr_pct,result_name,output_dir,roc_path,log_file
ok,huggyllama/llama-13b,swj0419/WikiMIA,WikiMIA_length32,32,0.03,0,7,60.3,58.9,1.1,8.7,17.1,wpmia_len32_tau_0p03_gamma_0,simmia_out/WikiMIA/WikiMIA_length32/llama-13b/7,simmia_out/WikiMIA/WikiMIA_length32/llama-13b/7/wpmia_len32_tau_0p03_gamma_0_roc_tpr_at_5_fpr.png,logs/wpmia/20260523_181141_wikimia_llama13b_wpmia/WikiMIA_length32_wpmia_len32_tau_0p03_gamma_0.log
ok,huggyllama/llama-13b,swj0419/WikiMIA,WikiMIA_length32,32,0.03,0.25,7,62.6,60.3,1.1,10.3,17.9,wpmia_len32_tau_0p03_gamma_0p25,simmia_out/WikiMIA/WikiMIA_length32/llama-13b/7,simmia_out/WikiMIA/WikiMIA_length32/llama-13b/7/wpmia_len32_tau_0p03_gamma_0p25_roc_tpr_at_5_fpr.png,logs/wpmia/20260523_181141_wikimia_llama13b_wpmia/WikiMIA_length32_wpmia_len32_tau_0p03_gamma_0p25.log
ok,huggyllama/llama-13b,swj0419/WikiMIA,WikiMIA_length32,32,0.03,0.5,7,64.3,61.8,1.1,11.1,16.8,wpmia_len32_tau_0p03_gamma_0p5,simmia_out/WikiMIA/WikiMIA_length32/llama-13b/7,simmia_out/WikiMIA/WikiMIA_length32/llama-13b/7/wpmia_len32_tau_0p03_gamma_0p5_roc_tpr_at_5_fpr.png,logs/wpmia/20260523_181141_wikimia_llama13b_wpmia/WikiMIA_length32_wpmia_len32_tau_0p03_gamma_0p5.log
ok,huggyllama/llama-13b,swj0419/WikiMIA,WikiMIA_length32,32,0.03,0.75,7,65.3,61.8,0.8,9.2,18.7,wpmia_len32_tau_0p03_gamma_0p75,simmia_out/WikiMIA/WikiMIA_length32/llama-13b/7,simmia_out/WikiMIA/WikiMIA_length32/llama-13b/7/wpmia_len32_tau_0p03_gamma_0p75_roc_tpr_at_5_fpr.png,logs/wpmia/20260523_181141_wikimia_llama13b_wpmia/WikiMIA_length32_wpmia_len32_tau_0p03_gamma_0p75.log
ok,huggyllama/llama-13b,swj0419/WikiMIA,WikiMIA_length32,32,0.03,1.0,7,65.6,62.5,0.8,7.4,21.1,wpmia_len32_tau_0p03_gamma_1p0,simmia_out/WikiMIA/WikiMIA_length32/llama-13b/7,simmia_out/WikiMIA/WikiMIA_length32/llama-13b/7/wpmia_len32_tau_0p03_gamma_1p0_roc_tpr_at_5_fpr.png,logs/wpmia/20260523_181141_wikimia_llama13b_wpmia/WikiMIA_length32_wpmia_len32_tau_0p03_gamma_1p0.log
ok,huggyllama/llama-13b,swj0419/WikiMIA,WikiMIA_length32,32,0.05,0,7,61.4,59.6,1.1,9.2,19.5,wpmia_len32_tau_0p05_gamma_0,simmia_out/WikiMIA/WikiMIA_length32/llama-13b/7,simmia_out/WikiMIA/WikiMIA_length32/llama-13b/7/wpmia_len32_tau_0p05_gamma_0_roc_tpr_at_5_fpr.png,logs/wpmia/20260523_181141_wikimia_llama13b_wpmia/WikiMIA_length32_wpmia_len32_tau_0p05_gamma_0.log
ok,huggyllama/llama-13b,swj0419/WikiMIA,WikiMIA_length32,32,0.05,0.25,7,64.2,62.1,1.1,8.9,20.5,wpmia_len32_tau_0p05_gamma_0p25,simmia_out/WikiMIA/WikiMIA_length32/llama-13b/7,simmia_out/WikiMIA/WikiMIA_length32/llama-13b/7/wpmia_len32_tau_0p05_gamma_0p25_roc_tpr_at_5_fpr.png,logs/wpmia/20260523_181141_wikimia_llama13b_wpmia/WikiMIA_length32_wpmia_len32_tau_0p05_gamma_0p25.log
ok,huggyllama/llama-13b,swj0419/WikiMIA,WikiMIA_length32,32,0.05,0.5,7,66.5,62.4,1.1,9.7,18.2,wpmia_len32_tau_0p05_gamma_0p5,simmia_out/WikiMIA/WikiMIA_length32/llama-13b/7,simmia_out/WikiMIA/WikiMIA_length32/llama-13b/7/wpmia_len32_tau_0p05_gamma_0p5_roc_tpr_at_5_fpr.png,logs/wpmia/20260523_181141_wikimia_llama13b_wpmia/WikiMIA_length32_wpmia_len32_tau_0p05_gamma_0p5.log
ok,huggyllama/llama-13b,swj0419/WikiMIA,WikiMIA_length32,32,0.05,0.75,7,68.0,64.2,1.1,8.9,23.7,wpmia_len32_tau_0p05_gamma_0p75,simmia_out/WikiMIA/WikiMIA_length32/llama-13b/7,simmia_out/WikiMIA/WikiMIA_length32/llama-13b/7/wpmia_len32_tau_0p05_gamma_0p75_roc_tpr_at_5_fpr.png,logs/wpmia/20260523_181141_wikimia_llama13b_wpmia/WikiMIA_length32_wpmia_len32_tau_0p05_gamma_0p75.log
ok,huggyllama/llama-13b,swj0419/WikiMIA,WikiMIA_length32,32,0.05,1.0,7,68.4,64.2,1.1,8.7,27.4,wpmia_len32_tau_0p05_gamma_1p0,simmia_out/WikiMIA/WikiMIA_length32/llama-13b/7,simmia_out/WikiMIA/WikiMIA_length32/llama-13b/7/wpmia_len32_tau_0p05_gamma_1p0_roc_tpr_at_5_fpr.png,logs/wpmia/20260523_181141_wikimia_llama13b_wpmia/WikiMIA_length32_wpmia_len32_tau_0p05_gamma_1p0.log
ok,huggyllama/llama-13b,swj0419/WikiMIA,WikiMIA_length32,32,0.1,0,7,63.4,61.2,1.1,10.8,20.5,wpmia_len32_tau_0p1_gamma_0,simmia_out/WikiMIA/WikiMIA_length32/llama-13b/7,simmia_out/WikiMIA/WikiMIA_length32/llama-13b/7/wpmia_len32_tau_0p1_gamma_0_roc_tpr_at_5_fpr.png,logs/wpmia/20260523_181141_wikimia_llama13b_wpmia/WikiMIA_length32_wpmia_len32_tau_0p1_gamma_0.log
ok,huggyllama/llama-13b,swj0419/WikiMIA,WikiMIA_length32,32,0.1,0.25,7,67.4,63.8,1.1,11.3,24.5,wpmia_len32_tau_0p1_gamma_0p25,simmia_out/WikiMIA/WikiMIA_length32/llama-13b/7,simmia_out/WikiMIA/WikiMIA_length32/llama-13b/7/wpmia_len32_tau_0p1_gamma_0p25_roc_tpr_at_5_fpr.png,logs/wpmia/20260523_181141_wikimia_llama13b_wpmia/WikiMIA_length32_wpmia_len32_tau_0p1_gamma_0p25.log
ok,huggyllama/llama-13b,swj0419/WikiMIA,WikiMIA_length32,32,0.1,0.5,7,71.1,67.1,1.1,11.8,26.3,wpmia_len32_tau_0p1_gamma_0p5,simmia_out/WikiMIA/WikiMIA_length32/llama-13b/7,simmia_out/WikiMIA/WikiMIA_length32/llama-13b/7/wpmia_len32_tau_0p1_gamma_0p5_roc_tpr_at_5_fpr.png,logs/wpmia/20260523_181141_wikimia_llama13b_wpmia/WikiMIA_length32_wpmia_len32_tau_0p1_gamma_0p5.log
ok,huggyllama/llama-13b,swj0419/WikiMIA,WikiMIA_length32,32,0.1,0.75,7,73.3,68.3,1.1,15.8,28.9,wpmia_len32_tau_0p1_gamma_0p75,simmia_out/WikiMIA/WikiMIA_length32/llama-13b/7,simmia_out/WikiMIA/WikiMIA_length32/llama-13b/7/wpmia_len32_tau_0p1_gamma_0p75_roc_tpr_at_5_fpr.png,logs/wpmia/20260523_181141_wikimia_llama13b_wpmia/WikiMIA_length32_wpmia_len32_tau_0p1_gamma_0p75.log
ok,huggyllama/llama-13b,swj0419/WikiMIA,WikiMIA_length32,32,0.1,1.0,7,73.9,69.2,1.1,14.7,33.7,wpmia_len32_tau_0p1_gamma_1p0,simmia_out/WikiMIA/WikiMIA_length32/llama-13b/7,simmia_out/WikiMIA/WikiMIA_length32/llama-13b/7/wpmia_len32_tau_0p1_gamma_1p0_roc_tpr_at_5_fpr.png,logs/wpmia/20260523_181141_wikimia_llama13b_wpmia/WikiMIA_length32_wpmia_len32_tau_0p1_gamma_1p0.log
ok,huggyllama/llama-13b,swj0419/WikiMIA,WikiMIA_length32,32,0.2,0,7,63.3,61.2,1.1,12.4,23.7,wpmia_len32_tau_0p2_gamma_0,simmia_out/WikiMIA/WikiMIA_length32/llama-13b/7,simmia_out/WikiMIA/WikiMIA_length32/llama-13b/7/wpmia_len32_tau_0p2_gamma_0_roc_tpr_at_5_fpr.png,logs/wpmia/20260523_181141_wikimia_llama13b_wpmia/WikiMIA_length32_wpmia_len32_tau_0p2_gamma_0.log
ok,huggyllama/llama-13b,swj0419/WikiMIA,WikiMIA_length32,32,0.2,0.25,7,68.0,65.0,1.1,16.1,29.5,wpmia_len32_tau_0p2_gamma_0p25,simmia_out/WikiMIA/WikiMIA_length32/llama-13b/7,simmia_out/WikiMIA/WikiMIA_length32/llama-13b/7/wpmia_len32_tau_0p2_gamma_0p25_roc_tpr_at_5_fpr.png,logs/wpmia/20260523_181141_wikimia_llama13b_wpmia/WikiMIA_length32_wpmia_len32_tau_0p2_gamma_0p25.log
ok,huggyllama/llama-13b,swj0419/WikiMIA,WikiMIA_length32,32,0.2,0.5,7,72.4,68.6,1.1,19.2,36.1,wpmia_len32_tau_0p2_gamma_0p5,simmia_out/WikiMIA/WikiMIA_length32/llama-13b/7,simmia_out/WikiMIA/WikiMIA_length32/llama-13b/7/wpmia_len32_tau_0p2_gamma_0p5_roc_tpr_at_5_fpr.png,logs/wpmia/20260523_181141_wikimia_llama13b_wpmia/WikiMIA_length32_wpmia_len32_tau_0p2_gamma_0p5.log
ok,huggyllama/llama-13b,swj0419/WikiMIA,WikiMIA_length32,32,0.2,0.75,7,75.2,69.3,1.1,21.3,38.7,wpmia_len32_tau_0p2_gamma_0p75,simmia_out/WikiMIA/WikiMIA_length32/llama-13b/7,simmia_out/WikiMIA/WikiMIA_length32/llama-13b/7/wpmia_len32_tau_0p2_gamma_0p75_roc_tpr_at_5_fpr.png,logs/wpmia/20260523_181141_wikimia_llama13b_wpmia/WikiMIA_length32_wpmia_len32_tau_0p2_gamma_0p75.log
ok,huggyllama/llama-13b,swj0419/WikiMIA,WikiMIA_length32,32,0.2,1.0,7,75.9,70.4,1.1,21.6,38.7,wpmia_len32_tau_0p2_gamma_1p0,simmia_out/WikiMIA/WikiMIA_length32/llama-13b/7,simmia_out/WikiMIA/WikiMIA_length32/llama-13b/7/wpmia_len32_tau_0p2_gamma_1p0_roc_tpr_at_5_fpr.png,logs/wpmia/20260523_181141_wikimia_llama13b_wpmia/WikiMIA_length32_wpmia_len32_tau_0p2_gamma_1p0.log
ok,huggyllama/llama-13b,swj0419/WikiMIA,WikiMIA_length32,32,0.5,0,7,62.4,59.5,1.1,12.6,22.9,wpmia_len32_tau_0p5_gamma_0,simmia_out/WikiMIA/WikiMIA_length32/llama-13b/7,simmia_out/WikiMIA/WikiMIA_length32/llama-13b/7/wpmia_len32_tau_0p5_gamma_0_roc_tpr_at_5_fpr.png,logs/wpmia/20260523_181141_wikimia_llama13b_wpmia/WikiMIA_length32_wpmia_len32_tau_0p5_gamma_0.log
ok,huggyllama/llama-13b,swj0419/WikiMIA,WikiMIA_length32,32,0.5,0.25,7,67.0,63.6,1.1,17.1,27.6,wpmia_len32_tau_0p5_gamma_0p25,simmia_out/WikiMIA/WikiMIA_length32/llama-13b/7,simmia_out/WikiMIA/WikiMIA_length32/llama-13b/7/wpmia_len32_tau_0p5_gamma_0p25_roc_tpr_at_5_fpr.png,logs/wpmia/20260523_181141_wikimia_llama13b_wpmia/WikiMIA_length32_wpmia_len32_tau_0p5_gamma_0p25.log
ok,huggyllama/llama-13b,swj0419/WikiMIA,WikiMIA_length32,32,0.5,0.5,7,71.4,67.4,1.1,20.8,31.8,wpmia_len32_tau_0p5_gamma_0p5,simmia_out/WikiMIA/WikiMIA_length32/llama-13b/7,simmia_out/WikiMIA/WikiMIA_length32/llama-13b/7/wpmia_len32_tau_0p5_gamma_0p5_roc_tpr_at_5_fpr.png,logs/wpmia/20260523_181141_wikimia_llama13b_wpmia/WikiMIA_length32_wpmia_len32_tau_0p5_gamma_0p5.log
ok,huggyllama/llama-13b,swj0419/WikiMIA,WikiMIA_length32,32,0.5,0.75,7,74.0,69.1,1.1,23.7,35.8,wpmia_len32_tau_0p5_gamma_0p75,simmia_out/WikiMIA/WikiMIA_length32/llama-13b/7,simmia_out/WikiMIA/WikiMIA_length32/llama-13b/7/wpmia_len32_tau_0p5_gamma_0p75_roc_tpr_at_5_fpr.png,logs/wpmia/20260523_181141_wikimia_llama13b_wpmia/WikiMIA_length32_wpmia_len32_tau_0p5_gamma_0p75.log
ok,huggyllama/llama-13b,swj0419/WikiMIA,WikiMIA_length32,32,0.5,1.0,7,74.7,68.8,1.1,21.1,35.8,wpmia_len32_tau_0p5_gamma_1p0,simmia_out/WikiMIA/WikiMIA_length32/llama-13b/7,simmia_out/WikiMIA/WikiMIA_length32/llama-13b/7/wpmia_len32_tau_0p5_gamma_1p0_roc_tpr_at_5_fpr.png,logs/wpmia/20260523_181141_wikimia_llama13b_wpmia/WikiMIA_length32_wpmia_len32_tau_0p5_gamma_1p0.log
ok,huggyllama/llama-13b,swj0419/WikiMIA,WikiMIA_length64,64,0.03,0,7,57.4,56.4,4.4,11.6,21.5,wpmia_len64_tau_0p03_gamma_0,simmia_out/WikiMIA/WikiMIA_length64/llama-13b/7,simmia_out/WikiMIA/WikiMIA_length64/llama-13b/7/wpmia_len64_tau_0p03_gamma_0_roc_tpr_at_5_fpr.png,logs/wpmia/20260523_181141_wikimia_llama13b_wpmia/WikiMIA_length64_wpmia_len64_tau_0p03_gamma_0.log
ok,huggyllama/llama-13b,swj0419/WikiMIA,WikiMIA_length64,64,0.03,0.25,7,60.0,58.4,3.2,12.7,23.5,wpmia_len64_tau_0p03_gamma_0p25,simmia_out/WikiMIA/WikiMIA_length64/llama-13b/7,simmia_out/WikiMIA/WikiMIA_length64/llama-13b/7/wpmia_len64_tau_0p03_gamma_0p25_roc_tpr_at_5_fpr.png,logs/wpmia/20260523_181141_wikimia_llama13b_wpmia/WikiMIA_length64_wpmia_len64_tau_0p03_gamma_0p25.log
ok,huggyllama/llama-13b,swj0419/WikiMIA,WikiMIA_length64,64,0.03,0.5,7,62.3,59.6,4.4,15.5,23.9,wpmia_len64_tau_0p03_gamma_0p5,simmia_out/WikiMIA/WikiMIA_length64/llama-13b/7,simmia_out/WikiMIA/WikiMIA_length64/llama-13b/7/wpmia_len64_tau_0p03_gamma_0p5_roc_tpr_at_5_fpr.png,logs/wpmia/20260523_181141_wikimia_llama13b_wpmia/WikiMIA_length64_wpmia_len64_tau_0p03_gamma_0p5.log
ok,huggyllama/llama-13b,swj0419/WikiMIA,WikiMIA_length64,64,0.03,0.75,7,63.8,59.8,3.2,18.3,23.9,wpmia_len64_tau_0p03_gamma_0p75,simmia_out/WikiMIA/WikiMIA_length64/llama-13b/7,simmia_out/WikiMIA/WikiMIA_length64/llama-13b/7/wpmia_len64_tau_0p03_gamma_0p75_roc_tpr_at_5_fpr.png,logs/wpmia/20260523_181141_wikimia_llama13b_wpmia/WikiMIA_length64_wpmia_len64_tau_0p03_gamma_0p75.log
ok,huggyllama/llama-13b,swj0419/WikiMIA,WikiMIA_length64,64,0.03,1.0,7,64.2,60.4,3.2,16.7,23.1,wpmia_len64_tau_0p03_gamma_1p0,simmia_out/WikiMIA/WikiMIA_length64/llama-13b/7,simmia_out/WikiMIA/WikiMIA_length64/llama-13b/7/wpmia_len64_tau_0p03_gamma_1p0_roc_tpr_at_5_fpr.png,logs/wpmia/20260523_181141_wikimia_llama13b_wpmia/WikiMIA_length64_wpmia_len64_tau_0p03_gamma_1p0.log
ok,huggyllama/llama-13b,swj0419/WikiMIA,WikiMIA_length64,64,0.05,0,7,59.3,57.8,2.8,15.5,23.9,wpmia_len64_tau_0p05_gamma_0,simmia_out/WikiMIA/WikiMIA_length64/llama-13b/7,simmia_out/WikiMIA/WikiMIA_length64/llama-13b/7/wpmia_len64_tau_0p05_gamma_0_roc_tpr_at_5_fpr.png,logs/wpmia/20260523_181141_wikimia_llama13b_wpmia/WikiMIA_length64_wpmia_len64_tau_0p05_gamma_0.log
ok,huggyllama/llama-13b,swj0419/WikiMIA,WikiMIA_length64,64,0.05,0.25,7,61.9,59.6,4.8,20.3,26.7,wpmia_len64_tau_0p05_gamma_0p25,simmia_out/WikiMIA/WikiMIA_length64/llama-13b/7,simmia_out/WikiMIA/WikiMIA_length64/llama-13b/7/wpmia_len64_tau_0p05_gamma_0p25_roc_tpr_at_5_fpr.png,logs/wpmia/20260523_181141_wikimia_llama13b_wpmia/WikiMIA_length64_wpmia_len64_tau_0p05_gamma_0p25.log
ok,huggyllama/llama-13b,swj0419/WikiMIA,WikiMIA_length64,64,0.05,0.5,7,64.3,59.6,4.4,22.3,25.9,wpmia_len64_tau_0p05_gamma_0p5,simmia_out/WikiMIA/WikiMIA_length64/llama-13b/7,simmia_out/WikiMIA/WikiMIA_length64/llama-13b/7/wpmia_len64_tau_0p05_gamma_0p5_roc_tpr_at_5_fpr.png,logs/wpmia/20260523_181141_wikimia_llama13b_wpmia/WikiMIA_length64_wpmia_len64_tau_0p05_gamma_0p5.log
ok,huggyllama/llama-13b,swj0419/WikiMIA,WikiMIA_length64,64,0.05,0.75,7,65.9,61.0,3.6,19.1,27.5,wpmia_len64_tau_0p05_gamma_0p75,simmia_out/WikiMIA/WikiMIA_length64/llama-13b/7,simmia_out/WikiMIA/WikiMIA_length64/llama-13b/7/wpmia_len64_tau_0p05_gamma_0p75_roc_tpr_at_5_fpr.png,logs/wpmia/20260523_181141_wikimia_llama13b_wpmia/WikiMIA_length64_wpmia_len64_tau_0p05_gamma_0p75.log
ok,huggyllama/llama-13b,swj0419/WikiMIA,WikiMIA_length64,64,0.05,1.0,7,66.1,62.4,3.2,17.5,25.9,wpmia_len64_tau_0p05_gamma_1p0,simmia_out/WikiMIA/WikiMIA_length64/llama-13b/7,simmia_out/WikiMIA/WikiMIA_length64/llama-13b/7/wpmia_len64_tau_0p05_gamma_1p0_roc_tpr_at_5_fpr.png,logs/wpmia/20260523_181141_wikimia_llama13b_wpmia/WikiMIA_length64_wpmia_len64_tau_0p05_gamma_1p0.log
ok,huggyllama/llama-13b,swj0419/WikiMIA,WikiMIA_length64,64,0.1,0,7,63.4,59.8,5.2,17.1,24.3,wpmia_len64_tau_0p1_gamma_0,simmia_out/WikiMIA/WikiMIA_length64/llama-13b/7,simmia_out/WikiMIA/WikiMIA_length64/llama-13b/7/wpmia_len64_tau_0p1_gamma_0_roc_tpr_at_5_fpr.png,logs/wpmia/20260523_181141_wikimia_llama13b_wpmia/WikiMIA_length64_wpmia_len64_tau_0p1_gamma_0.log
ok,huggyllama/llama-13b,swj0419/WikiMIA,WikiMIA_length64,64,0.1,0.25,7,66.9,62.2,7.2,17.1,27.9,wpmia_len64_tau_0p1_gamma_0p25,simmia_out/WikiMIA/WikiMIA_length64/llama-13b/7,simmia_out/WikiMIA/WikiMIA_length64/llama-13b/7/wpmia_len64_tau_0p1_gamma_0p25_roc_tpr_at_5_fpr.png,logs/wpmia/20260523_181141_wikimia_llama13b_wpmia/WikiMIA_length64_wpmia_len64_tau_0p1_gamma_0p25.log
ok,huggyllama/llama-13b,swj0419/WikiMIA,WikiMIA_length64,64,0.1,0.5,7,69.7,64.1,6.8,19.9,32.7,wpmia_len64_tau_0p1_gamma_0p5,simmia_out/WikiMIA/WikiMIA_length64/llama-13b/7,simmia_out/WikiMIA/WikiMIA_length64/llama-13b/7/wpmia_len64_tau_0p1_gamma_0p5_roc_tpr_at_5_fpr.png,logs/wpmia/20260523_181141_wikimia_llama13b_wpmia/WikiMIA_length64_wpmia_len64_tau_0p1_gamma_0p5.log
ok,huggyllama/llama-13b,swj0419/WikiMIA,WikiMIA_length64,64,0.1,0.75,7,71.4,65.5,5.6,16.3,30.7,wpmia_len64_tau_0p1_gamma_0p75,simmia_out/WikiMIA/WikiMIA_length64/llama-13b/7,simmia_out/WikiMIA/WikiMIA_length64/llama-13b/7/wpmia_len64_tau_0p1_gamma_0p75_roc_tpr_at_5_fpr.png,logs/wpmia/20260523_181141_wikimia_llama13b_wpmia/WikiMIA_length64_wpmia_len64_tau_0p1_gamma_0p75.log
ok,huggyllama/llama-13b,swj0419/WikiMIA,WikiMIA_length64,64,0.1,1.0,7,71.4,66.5,4.8,19.1,32.3,wpmia_len64_tau_0p1_gamma_1p0,simmia_out/WikiMIA/WikiMIA_length64/llama-13b/7,simmia_out/WikiMIA/WikiMIA_length64/llama-13b/7/wpmia_len64_tau_0p1_gamma_1p0_roc_tpr_at_5_fpr.png,logs/wpmia/20260523_181141_wikimia_llama13b_wpmia/WikiMIA_length64_wpmia_len64_tau_0p1_gamma_1p0.log
