status,model,data,sub_dataset,length,tau,gamma,num_shots,auc_pct,accuracy_pct,tpr1_fpr_pct,tpr5_fpr_pct,tpr10_fpr_pct,result_name,output_dir,roc_path,log_file
ok,EleutherAI/pythia-6.9b,swj0419/WikiMIA,WikiMIA_length32,32,0.03,0,7,72.7,68.7,3.7,15.0,28.9,wpmia_len32_tau_0p03_gamma_0,simmia_out/WikiMIA/WikiMIA_length32/pythia-6.9b/7,simmia_out/WikiMIA/WikiMIA_length32/pythia-6.9b/7/wpmia_len32_tau_0p03_gamma_0_roc_tpr_at_5_fpr.png,logs/wpmia/20260523_175531_wikimia_pythia_wpmia/WikiMIA_length32_wpmia_len32_tau_0p03_gamma_0.log
ok,EleutherAI/pythia-6.9b,swj0419/WikiMIA,WikiMIA_length32,32,0.03,0.25,7,77.1,72.0,3.4,17.6,33.2,wpmia_len32_tau_0p03_gamma_0p25,simmia_out/WikiMIA/WikiMIA_length32/pythia-6.9b/7,simmia_out/WikiMIA/WikiMIA_length32/pythia-6.9b/7/wpmia_len32_tau_0p03_gamma_0p25_roc_tpr_at_5_fpr.png,logs/wpmia/20260523_175531_wikimia_pythia_wpmia/WikiMIA_length32_wpmia_len32_tau_0p03_gamma_0p25.log
ok,EleutherAI/pythia-6.9b,swj0419/WikiMIA,WikiMIA_length32,32,0.03,0.5,7,80.0,74.9,3.2,21.3,36.3,wpmia_len32_tau_0p03_gamma_0p5,simmia_out/WikiMIA/WikiMIA_length32/pythia-6.9b/7,simmia_out/WikiMIA/WikiMIA_length32/pythia-6.9b/7/wpmia_len32_tau_0p03_gamma_0p5_roc_tpr_at_5_fpr.png,logs/wpmia/20260523_175531_wikimia_pythia_wpmia/WikiMIA_length32_wpmia_len32_tau_0p03_gamma_0p5.log
ok,EleutherAI/pythia-6.9b,swj0419/WikiMIA,WikiMIA_length32,32,0.03,0.75,7,80.9,75.0,1.6,25.0,42.1,wpmia_len32_tau_0p03_gamma_0p75,simmia_out/WikiMIA/WikiMIA_length32/pythia-6.9b/7,simmia_out/WikiMIA/WikiMIA_length32/pythia-6.9b/7/wpmia_len32_tau_0p03_gamma_0p75_roc_tpr_at_5_fpr.png,logs/wpmia/20260523_175531_wikimia_pythia_wpmia/WikiMIA_length32_wpmia_len32_tau_0p03_gamma_0p75.log
ok,EleutherAI/pythia-6.9b,swj0419/WikiMIA,WikiMIA_length32,32,0.03,1.0,7,80.2,74.3,1.6,27.9,42.1,wpmia_len32_tau_0p03_gamma_1p0,simmia_out/WikiMIA/WikiMIA_length32/pythia-6.9b/7,simmia_out/WikiMIA/WikiMIA_length32/pythia-6.9b/7/wpmia_len32_tau_0p03_gamma_1p0_roc_tpr_at_5_fpr.png,logs/wpmia/20260523_175531_wikimia_pythia_wpmia/WikiMIA_length32_wpmia_len32_tau_0p03_gamma_1p0.log
ok,EleutherAI/pythia-6.9b,swj0419/WikiMIA,WikiMIA_length32,32,0.05,0,7,73.1,68.7,2.9,13.2,29.2,wpmia_len32_tau_0p05_gamma_0,simmia_out/WikiMIA/WikiMIA_length32/pythia-6.9b/7,simmia_out/WikiMIA/WikiMIA_length32/pythia-6.9b/7/wpmia_len32_tau_0p05_gamma_0_roc_tpr_at_5_fpr.png,logs/wpmia/20260523_175531_wikimia_pythia_wpmia/WikiMIA_length32_wpmia_len32_tau_0p05_gamma_0.log
ok,EleutherAI/pythia-6.9b,swj0419/WikiMIA,WikiMIA_length32,32,0.05,0.25,7,77.5,72.1,2.1,15.8,30.5,wpmia_len32_tau_0p05_gamma_0p25,simmia_out/WikiMIA/WikiMIA_length32/pythia-6.9b/7,simmia_out/WikiMIA/WikiMIA_length32/pythia-6.9b/7/wpmia_len32_tau_0p05_gamma_0p25_roc_tpr_at_5_fpr.png,logs/wpmia/20260523_175531_wikimia_pythia_wpmia/WikiMIA_length32_wpmia_len32_tau_0p05_gamma_0p25.log
ok,EleutherAI/pythia-6.9b,swj0419/WikiMIA,WikiMIA_length32,32,0.05,0.5,7,80.5,75.9,2.1,18.9,35.0,wpmia_len32_tau_0p05_gamma_0p5,simmia_out/WikiMIA/WikiMIA_length32/pythia-6.9b/7,simmia_out/WikiMIA/WikiMIA_length32/pythia-6.9b/7/wpmia_len32_tau_0p05_gamma_0p5_roc_tpr_at_5_fpr.png,logs/wpmia/20260523_175531_wikimia_pythia_wpmia/WikiMIA_length32_wpmia_len32_tau_0p05_gamma_0p5.log
ok,EleutherAI/pythia-6.9b,swj0419/WikiMIA,WikiMIA_length32,32,0.05,0.75,7,81.5,76.8,1.1,19.5,37.9,wpmia_len32_tau_0p05_gamma_0p75,simmia_out/WikiMIA/WikiMIA_length32/pythia-6.9b/7,simmia_out/WikiMIA/WikiMIA_length32/pythia-6.9b/7/wpmia_len32_tau_0p05_gamma_0p75_roc_tpr_at_5_fpr.png,logs/wpmia/20260523_175531_wikimia_pythia_wpmia/WikiMIA_length32_wpmia_len32_tau_0p05_gamma_0p75.log
ok,EleutherAI/pythia-6.9b,swj0419/WikiMIA,WikiMIA_length32,32,0.05,1.0,7,80.9,75.9,0.5,21.3,44.5,wpmia_len32_tau_0p05_gamma_1p0,simmia_out/WikiMIA/WikiMIA_length32/pythia-6.9b/7,simmia_out/WikiMIA/WikiMIA_length32/pythia-6.9b/7/wpmia_len32_tau_0p05_gamma_1p0_roc_tpr_at_5_fpr.png,logs/wpmia/20260523_175531_wikimia_pythia_wpmia/WikiMIA_length32_wpmia_len32_tau_0p05_gamma_1p0.log
ok,EleutherAI/pythia-6.9b,swj0419/WikiMIA,WikiMIA_length32,32,0.1,0,7,76.6,72.9,3.4,14.5,25.0,wpmia_len32_tau_0p1_gamma_0,simmia_out/WikiMIA/WikiMIA_length32/pythia-6.9b/7,simmia_out/WikiMIA/WikiMIA_length32/pythia-6.9b/7/wpmia_len32_tau_0p1_gamma_0_roc_tpr_at_5_fpr.png,logs/wpmia/20260523_175531_wikimia_pythia_wpmia/WikiMIA_length32_wpmia_len32_tau_0p1_gamma_0.log
ok,EleutherAI/pythia-6.9b,swj0419/WikiMIA,WikiMIA_length32,32,0.1,0.25,7,81.1,75.9,2.9,15.8,38.2,wpmia_len32_tau_0p1_gamma_0p25,simmia_out/WikiMIA/WikiMIA_length32/pythia-6.9b/7,simmia_out/WikiMIA/WikiMIA_length32/pythia-6.9b/7/wpmia_len32_tau_0p1_gamma_0p25_roc_tpr_at_5_fpr.png,logs/wpmia/20260523_175531_wikimia_pythia_wpmia/WikiMIA_length32_wpmia_len32_tau_0p1_gamma_0p25.log
ok,EleutherAI/pythia-6.9b,swj0419/WikiMIA,WikiMIA_length32,32,0.1,0.5,7,84.1,79.6,2.1,21.3,40.0,wpmia_len32_tau_0p1_gamma_0p5,simmia_out/WikiMIA/WikiMIA_length32/pythia-6.9b/7,simmia_out/WikiMIA/WikiMIA_length32/pythia-6.9b/7/wpmia_len32_tau_0p1_gamma_0p5_roc_tpr_at_5_fpr.png,logs/wpmia/20260523_175531_wikimia_pythia_wpmia/WikiMIA_length32_wpmia_len32_tau_0p1_gamma_0p5.log
ok,EleutherAI/pythia-6.9b,swj0419/WikiMIA,WikiMIA_length32,32,0.1,0.75,7,85.2,80.4,1.6,22.1,45.3,wpmia_len32_tau_0p1_gamma_0p75,simmia_out/WikiMIA/WikiMIA_length32/pythia-6.9b/7,simmia_out/WikiMIA/WikiMIA_length32/pythia-6.9b/7/wpmia_len32_tau_0p1_gamma_0p75_roc_tpr_at_5_fpr.png,logs/wpmia/20260523_175531_wikimia_pythia_wpmia/WikiMIA_length32_wpmia_len32_tau_0p1_gamma_0p75.log
ok,EleutherAI/pythia-6.9b,swj0419/WikiMIA,WikiMIA_length32,32,0.1,1.0,7,84.7,78.9,1.3,26.1,47.9,wpmia_len32_tau_0p1_gamma_1p0,simmia_out/WikiMIA/WikiMIA_length32/pythia-6.9b/7,simmia_out/WikiMIA/WikiMIA_length32/pythia-6.9b/7/wpmia_len32_tau_0p1_gamma_1p0_roc_tpr_at_5_fpr.png,logs/wpmia/20260523_175531_wikimia_pythia_wpmia/WikiMIA_length32_wpmia_len32_tau_0p1_gamma_1p0.log
ok,EleutherAI/pythia-6.9b,swj0419/WikiMIA,WikiMIA_length32,32,0.2,0,7,75.5,70.9,3.4,16.1,31.8,wpmia_len32_tau_0p2_gamma_0,simmia_out/WikiMIA/WikiMIA_length32/pythia-6.9b/7,simmia_out/WikiMIA/WikiMIA_length32/pythia-6.9b/7/wpmia_len32_tau_0p2_gamma_0_roc_tpr_at_5_fpr.png,logs/wpmia/20260523_175531_wikimia_pythia_wpmia/WikiMIA_length32_wpmia_len32_tau_0p2_gamma_0.log
ok,EleutherAI/pythia-6.9b,swj0419/WikiMIA,WikiMIA_length32,32,0.2,0.25,7,80.2,74.1,2.9,18.7,36.8,wpmia_len32_tau_0p2_gamma_0p25,simmia_out/WikiMIA/WikiMIA_length32/pythia-6.9b/7,simmia_out/WikiMIA/WikiMIA_length32/pythia-6.9b/7/wpmia_len32_tau_0p2_gamma_0p25_roc_tpr_at_5_fpr.png,logs/wpmia/20260523_175531_wikimia_pythia_wpmia/WikiMIA_length32_wpmia_len32_tau_0p2_gamma_0p25.log
ok,EleutherAI/pythia-6.9b,swj0419/WikiMIA,WikiMIA_length32,32,0.2,0.5,7,83.6,77.1,2.9,21.3,40.3,wpmia_len32_tau_0p2_gamma_0p5,simmia_out/WikiMIA/WikiMIA_length32/pythia-6.9b/7,simmia_out/WikiMIA/WikiMIA_length32/pythia-6.9b/7/wpmia_len32_tau_0p2_gamma_0p5_roc_tpr_at_5_fpr.png,logs/wpmia/20260523_175531_wikimia_pythia_wpmia/WikiMIA_length32_wpmia_len32_tau_0p2_gamma_0p5.log
ok,EleutherAI/pythia-6.9b,swj0419/WikiMIA,WikiMIA_length32,32,0.2,0.75,7,85.1,80.0,3.2,24.2,47.9,wpmia_len32_tau_0p2_gamma_0p75,simmia_out/WikiMIA/WikiMIA_length32/pythia-6.9b/7,simmia_out/WikiMIA/WikiMIA_length32/pythia-6.9b/7/wpmia_len32_tau_0p2_gamma_0p75_roc_tpr_at_5_fpr.png,logs/wpmia/20260523_175531_wikimia_pythia_wpmia/WikiMIA_length32_wpmia_len32_tau_0p2_gamma_0p75.log
ok,EleutherAI/pythia-6.9b,swj0419/WikiMIA,WikiMIA_length32,32,0.2,1.0,7,84.8,80.1,3.2,27.9,49.5,wpmia_len32_tau_0p2_gamma_1p0,simmia_out/WikiMIA/WikiMIA_length32/pythia-6.9b/7,simmia_out/WikiMIA/WikiMIA_length32/pythia-6.9b/7/wpmia_len32_tau_0p2_gamma_1p0_roc_tpr_at_5_fpr.png,logs/wpmia/20260523_175531_wikimia_pythia_wpmia/WikiMIA_length32_wpmia_len32_tau_0p2_gamma_1p0.log
ok,EleutherAI/pythia-6.9b,swj0419/WikiMIA,WikiMIA_length32,32,0.5,0,7,72.4,67.8,1.6,14.5,26.6,wpmia_len32_tau_0p5_gamma_0,simmia_out/WikiMIA/WikiMIA_length32/pythia-6.9b/7,simmia_out/WikiMIA/WikiMIA_length32/pythia-6.9b/7/wpmia_len32_tau_0p5_gamma_0_roc_tpr_at_5_fpr.png,logs/wpmia/20260523_175531_wikimia_pythia_wpmia/WikiMIA_length32_wpmia_len32_tau_0p5_gamma_0.log
ok,EleutherAI/pythia-6.9b,swj0419/WikiMIA,WikiMIA_length32,32,0.5,0.25,7,76.8,71.6,2.1,20.0,30.8,wpmia_len32_tau_0p5_gamma_0p25,simmia_out/WikiMIA/WikiMIA_length32/pythia-6.9b/7,simmia_out/WikiMIA/WikiMIA_length32/pythia-6.9b/7/wpmia_len32_tau_0p5_gamma_0p25_roc_tpr_at_5_fpr.png,logs/wpmia/20260523_175531_wikimia_pythia_wpmia/WikiMIA_length32_wpmia_len32_tau_0p5_gamma_0p25.log
ok,EleutherAI/pythia-6.9b,swj0419/WikiMIA,WikiMIA_length32,32,0.5,0.5,7,80.1,73.0,2.4,21.1,40.3,wpmia_len32_tau_0p5_gamma_0p5,simmia_out/WikiMIA/WikiMIA_length32/pythia-6.9b/7,simmia_out/WikiMIA/WikiMIA_length32/pythia-6.9b/7/wpmia_len32_tau_0p5_gamma_0p5_roc_tpr_at_5_fpr.png,logs/wpmia/20260523_175531_wikimia_pythia_wpmia/WikiMIA_length32_wpmia_len32_tau_0p5_gamma_0p5.log
ok,EleutherAI/pythia-6.9b,swj0419/WikiMIA,WikiMIA_length32,32,0.5,0.75,7,82.1,76.4,4.5,27.1,47.6,wpmia_len32_tau_0p5_gamma_0p75,simmia_out/WikiMIA/WikiMIA_length32/pythia-6.9b/7,simmia_out/WikiMIA/WikiMIA_length32/pythia-6.9b/7/wpmia_len32_tau_0p5_gamma_0p75_roc_tpr_at_5_fpr.png,logs/wpmia/20260523_175531_wikimia_pythia_wpmia/WikiMIA_length32_wpmia_len32_tau_0p5_gamma_0p75.log
ok,EleutherAI/pythia-6.9b,swj0419/WikiMIA,WikiMIA_length32,32,0.5,1.0,7,82.3,76.8,6.6,20.0,46.6,wpmia_len32_tau_0p5_gamma_1p0,simmia_out/WikiMIA/WikiMIA_length32/pythia-6.9b/7,simmia_out/WikiMIA/WikiMIA_length32/pythia-6.9b/7/wpmia_len32_tau_0p5_gamma_1p0_roc_tpr_at_5_fpr.png,logs/wpmia/20260523_175531_wikimia_pythia_wpmia/WikiMIA_length32_wpmia_len32_tau_0p5_gamma_1p0.log
ok,EleutherAI/pythia-6.9b,swj0419/WikiMIA,WikiMIA_length64,64,0.03,0,7,73.2,68.7,2.0,13.9,27.9,wpmia_len64_tau_0p03_gamma_0,simmia_out/WikiMIA/WikiMIA_length64/pythia-6.9b/7,simmia_out/WikiMIA/WikiMIA_length64/pythia-6.9b/7/wpmia_len64_tau_0p03_gamma_0_roc_tpr_at_5_fpr.png,logs/wpmia/20260523_175531_wikimia_pythia_wpmia/WikiMIA_length64_wpmia_len64_tau_0p03_gamma_0.log
ok,EleutherAI/pythia-6.9b,swj0419/WikiMIA,WikiMIA_length64,64,0.03,0.25,7,77.5,72.5,3.2,15.5,37.1,wpmia_len64_tau_0p03_gamma_0p25,simmia_out/WikiMIA/WikiMIA_length64/pythia-6.9b/7,simmia_out/WikiMIA/WikiMIA_length64/pythia-6.9b/7/wpmia_len64_tau_0p03_gamma_0p25_roc_tpr_at_5_fpr.png,logs/wpmia/20260523_175531_wikimia_pythia_wpmia/WikiMIA_length64_wpmia_len64_tau_0p03_gamma_0p25.log
ok,EleutherAI/pythia-6.9b,swj0419/WikiMIA,WikiMIA_length64,64,0.03,0.5,7,80.3,75.1,5.2,19.5,45.8,wpmia_len64_tau_0p03_gamma_0p5,simmia_out/WikiMIA/WikiMIA_length64/pythia-6.9b/7,simmia_out/WikiMIA/WikiMIA_length64/pythia-6.9b/7/wpmia_len64_tau_0p03_gamma_0p5_roc_tpr_at_5_fpr.png,logs/wpmia/20260523_175531_wikimia_pythia_wpmia/WikiMIA_length64_wpmia_len64_tau_0p03_gamma_0p5.log
ok,EleutherAI/pythia-6.9b,swj0419/WikiMIA,WikiMIA_length64,64,0.03,0.75,7,81.1,76.5,4.8,27.9,43.0,wpmia_len64_tau_0p03_gamma_0p75,simmia_out/WikiMIA/WikiMIA_length64/pythia-6.9b/7,simmia_out/WikiMIA/WikiMIA_length64/pythia-6.9b/7/wpmia_len64_tau_0p03_gamma_0p75_roc_tpr_at_5_fpr.png,logs/wpmia/20260523_175531_wikimia_pythia_wpmia/WikiMIA_length64_wpmia_len64_tau_0p03_gamma_0p75.log
ok,EleutherAI/pythia-6.9b,swj0419/WikiMIA,WikiMIA_length64,64,0.03,1.0,7,80.4,75.1,7.2,23.9,42.2,wpmia_len64_tau_0p03_gamma_1p0,simmia_out/WikiMIA/WikiMIA_length64/pythia-6.9b/7,simmia_out/WikiMIA/WikiMIA_length64/pythia-6.9b/7/wpmia_len64_tau_0p03_gamma_1p0_roc_tpr_at_5_fpr.png,logs/wpmia/20260523_175531_wikimia_pythia_wpmia/WikiMIA_length64_wpmia_len64_tau_0p03_gamma_1p0.log
ok,EleutherAI/pythia-6.9b,swj0419/WikiMIA,WikiMIA_length64,64,0.05,0,7,73.3,67.5,2.0,16.7,31.1,wpmia_len64_tau_0p05_gamma_0,simmia_out/WikiMIA/WikiMIA_length64/pythia-6.9b/7,simmia_out/WikiMIA/WikiMIA_length64/pythia-6.9b/7/wpmia_len64_tau_0p05_gamma_0_roc_tpr_at_5_fpr.png,logs/wpmia/20260523_175531_wikimia_pythia_wpmia/WikiMIA_length64_wpmia_len64_tau_0p05_gamma_0.log
ok,EleutherAI/pythia-6.9b,swj0419/WikiMIA,WikiMIA_length64,64,0.05,0.25,7,77.4,71.5,3.2,21.5,38.6,wpmia_len64_tau_0p05_gamma_0p25,simmia_out/WikiMIA/WikiMIA_length64/pythia-6.9b/7,simmia_out/WikiMIA/WikiMIA_length64/pythia-6.9b/7/wpmia_len64_tau_0p05_gamma_0p25_roc_tpr_at_5_fpr.png,logs/wpmia/20260523_175531_wikimia_pythia_wpmia/WikiMIA_length64_wpmia_len64_tau_0p05_gamma_0p25.log
ok,EleutherAI/pythia-6.9b,swj0419/WikiMIA,WikiMIA_length64,64,0.05,0.5,7,80.4,75.1,6.0,24.3,39.8,wpmia_len64_tau_0p05_gamma_0p5,simmia_out/WikiMIA/WikiMIA_length64/pythia-6.9b/7,simmia_out/WikiMIA/WikiMIA_length64/pythia-6.9b/7/wpmia_len64_tau_0p05_gamma_0p5_roc_tpr_at_5_fpr.png,logs/wpmia/20260523_175531_wikimia_pythia_wpmia/WikiMIA_length64_wpmia_len64_tau_0p05_gamma_0p5.log
ok,EleutherAI/pythia-6.9b,swj0419/WikiMIA,WikiMIA_length64,64,0.05,0.75,7,81.3,77.5,6.4,28.7,39.0,wpmia_len64_tau_0p05_gamma_0p75,simmia_out/WikiMIA/WikiMIA_length64/pythia-6.9b/7,simmia_out/WikiMIA/WikiMIA_length64/pythia-6.9b/7/wpmia_len64_tau_0p05_gamma_0p75_roc_tpr_at_5_fpr.png,logs/wpmia/20260523_175531_wikimia_pythia_wpmia/WikiMIA_length64_wpmia_len64_tau_0p05_gamma_0p75.log
ok,EleutherAI/pythia-6.9b,swj0419/WikiMIA,WikiMIA_length64,64,0.05,1.0,7,80.7,76.7,5.6,20.7,41.4,wpmia_len64_tau_0p05_gamma_1p0,simmia_out/WikiMIA/WikiMIA_length64/pythia-6.9b/7,simmia_out/WikiMIA/WikiMIA_length64/pythia-6.9b/7/wpmia_len64_tau_0p05_gamma_1p0_roc_tpr_at_5_fpr.png,logs/wpmia/20260523_175531_wikimia_pythia_wpmia/WikiMIA_length64_wpmia_len64_tau_0p05_gamma_1p0.log
ok,EleutherAI/pythia-6.9b,swj0419/WikiMIA,WikiMIA_length64,64,0.1,0,7,76.7,72.3,2.0,15.5,39.4,wpmia_len64_tau_0p1_gamma_0,simmia_out/WikiMIA/WikiMIA_length64/pythia-6.9b/7,simmia_out/WikiMIA/WikiMIA_length64/pythia-6.9b/7/wpmia_len64_tau_0p1_gamma_0_roc_tpr_at_5_fpr.png,logs/wpmia/20260523_175531_wikimia_pythia_wpmia/WikiMIA_length64_wpmia_len64_tau_0p1_gamma_0.log
ok,EleutherAI/pythia-6.9b,swj0419/WikiMIA,WikiMIA_length64,64,0.1,0.25,7,81.3,76.3,2.8,18.3,43.4,wpmia_len64_tau_0p1_gamma_0p25,simmia_out/WikiMIA/WikiMIA_length64/pythia-6.9b/7,simmia_out/WikiMIA/WikiMIA_length64/pythia-6.9b/7/wpmia_len64_tau_0p1_gamma_0p25_roc_tpr_at_5_fpr.png,logs/wpmia/20260523_175531_wikimia_pythia_wpmia/WikiMIA_length64_wpmia_len64_tau_0p1_gamma_0p25.log
ok,EleutherAI/pythia-6.9b,swj0419/WikiMIA,WikiMIA_length64,64,0.1,0.5,7,84.3,79.3,4.8,29.1,48.2,wpmia_len64_tau_0p1_gamma_0p5,simmia_out/WikiMIA/WikiMIA_length64/pythia-6.9b/7,simmia_out/WikiMIA/WikiMIA_length64/pythia-6.9b/7/wpmia_len64_tau_0p1_gamma_0p5_roc_tpr_at_5_fpr.png,logs/wpmia/20260523_175531_wikimia_pythia_wpmia/WikiMIA_length64_wpmia_len64_tau_0p1_gamma_0p5.log
ok,EleutherAI/pythia-6.9b,swj0419/WikiMIA,WikiMIA_length64,64,0.1,0.75,7,85.7,80.3,9.2,28.7,55.4,wpmia_len64_tau_0p1_gamma_0p75,simmia_out/WikiMIA/WikiMIA_length64/pythia-6.9b/7,simmia_out/WikiMIA/WikiMIA_length64/pythia-6.9b/7/wpmia_len64_tau_0p1_gamma_0p75_roc_tpr_at_5_fpr.png,logs/wpmia/20260523_175531_wikimia_pythia_wpmia/WikiMIA_length64_wpmia_len64_tau_0p1_gamma_0p75.log
ok,EleutherAI/pythia-6.9b,swj0419/WikiMIA,WikiMIA_length64,64,0.1,1.0,7,85.0,79.9,6.4,34.3,53.0,wpmia_len64_tau_0p1_gamma_1p0,simmia_out/WikiMIA/WikiMIA_length64/pythia-6.9b/7,simmia_out/WikiMIA/WikiMIA_length64/pythia-6.9b/7/wpmia_len64_tau_0p1_gamma_1p0_roc_tpr_at_5_fpr.png,logs/wpmia/20260523_175531_wikimia_pythia_wpmia/WikiMIA_length64_wpmia_len64_tau_0p1_gamma_1p0.log
ok,EleutherAI/pythia-6.9b,swj0419/WikiMIA,WikiMIA_length64,64,0.2,0,7,77.2,72.5,2.8,20.7,31.5,wpmia_len64_tau_0p2_gamma_0,simmia_out/WikiMIA/WikiMIA_length64/pythia-6.9b/7,simmia_out/WikiMIA/WikiMIA_length64/pythia-6.9b/7/wpmia_len64_tau_0p2_gamma_0_roc_tpr_at_5_fpr.png,logs/wpmia/20260523_175531_wikimia_pythia_wpmia/WikiMIA_length64_wpmia_len64_tau_0p2_gamma_0.log
