shot,target_id,target_label,L0,Lm,Lnm,delta_m,delta_nm,tau,embedding_model,prefix_ratio,sample_count_limit,cache_path
7,f3d77fc4bef3d4fbcfa78e2374950e34b8405f9438d644d80c75dce2dd1ddf84,0,-31.8542040308,-35.466997564,-38.4586084121,-3.61279353324,-6.60440438135,0.2,sentence-transformers/all-MiniLM-L6-v2,0.0,,ablation/WikiMIA/WikiMIA_length32/pythia-6.9b/7
7,3927e90d73be56f1a8b6e9bc1c7e4f7417aab859c1e6bd93af98f976bd1d1266,1,-46.0504969963,-40.7701525679,-42.1650994549,5.28034442847,3.8853975414,0.2,sentence-transformers/all-MiniLM-L6-v2,0.0,,ablation/WikiMIA/WikiMIA_length32/pythia-6.9b/7
7,5e05b2330aa0c5de754be2689c5931f05f5df461032a7ef65c291fea46b5d05b,0,-60.9554514367,-60.0821228798,-61.7501642633,0.873328556906,-0.794712826602,0.2,sentence-transformers/all-MiniLM-L6-v2,0.0,,ablation/WikiMIA/WikiMIA_length32/pythia-6.9b/7
7,55183aef30d805134a142d21fdf6dfe9b3dbe87b2b54d854a046de3157575b89,1,-47.5492135198,-46.318449518,-49.9531342869,1.23076400176,-2.4039207671,0.2,sentence-transformers/all-MiniLM-L6-v2,0.0,,ablation/WikiMIA/WikiMIA_length32/pythia-6.9b/7
7,9a8b543f443ef1ed5844a003165c887e6a86017be949121ec98a20498ec4a982,0,-59.6257814398,-57.2948190166,-56.6186341321,2.33096242326,3.00714730777,0.2,sentence-transformers/all-MiniLM-L6-v2,0.0,,ablation/WikiMIA/WikiMIA_length32/pythia-6.9b/7
7,30db05bb86d0f76d4fc3650a49ffa369929d352815fbb0fbff2efcc37b1c53f7,1,-61.6667971892,-62.1922434585,-64.3105072928,-0.525446269287,-2.64371010359,0.2,sentence-transformers/all-MiniLM-L6-v2,0.0,,ablation/WikiMIA/WikiMIA_length32/pythia-6.9b/7
7,307cac6247cdc28df3d5551e5acabb93db0fe1fc98ebed6e45d8637ac96a549a,0,-36.4065572739,-30.8120617784,-28.630908818,5.59449549553,7.77564845589,0.2,sentence-transformers/all-MiniLM-L6-v2,0.0,,ablation/WikiMIA/WikiMIA_length32/pythia-6.9b/7
7,b909811ef7ec246646a3772136524e29921900c64f82983134ab5e99356cb077,1,-59.9884619526,-54.3454608706,-55.3663020627,5.64300108198,4.62215988986,0.2,sentence-transformers/all-MiniLM-L6-v2,0.0,,ablation/WikiMIA/WikiMIA_length32/pythia-6.9b/7
7,cd641b77c41e74e343ef51186ba806d9c74bcbd9a790ddecab08bc4b82130649,0,-37.3724864288,-38.2916798751,-36.8302252196,-0.919193446243,0.542261209232,0.2,sentence-transformers/all-MiniLM-L6-v2,0.0,,ablation/WikiMIA/WikiMIA_length32/pythia-6.9b/7
7,0435508a91b52591d548c811f9126bdc64c5b98008dc58b436a9a2ae2b5808fe,1,-37.9804877996,-34.5517972333,-36.4123661172,3.42869056634,1.56812168241,0.2,sentence-transformers/all-MiniLM-L6-v2,0.0,,ablation/WikiMIA/WikiMIA_length32/pythia-6.9b/7
